,Packet,Voltage Mag,Voltage Angle,Current Mag,Current Angle,Actual Frequency,ROCOF
1066,1066,47387.3828125,-191455.78125,-5300.67236328125,-1364.2694091796875,60.094871520996094,16.192935943603516
1067,1067,48771.890625,-190205.328125,-5595.28955078125,-1629.9627685546875,60.005828857421875,0.9673123359680176
1068,1068,,,,,,
1069,1069,48768.86328125,-190123.15625,-5594.64599609375,-1647.42041015625,59.99433898925781,-0.17883256077766418
1070,1070,46999.67578125,-187599.28125,-5218.2080078125,-2184.5341796875,59.9783821105957,11.661154747009277
1071,1071,,,,,,
1072,1072,51536.73046875,-184485.828125,-6183.375,-2848.426513671875,60.1816520690918,-6.123046875
1073,1073,47658.4921875,-191530.28125,-5358.34814453125,-1348.4847412109375,60.11021423339844,10.403136253356934
1074,1074,,,,,,
1075,1075,48778.64453125,-190210.359375,-5596.728515625,-1628.864990234375,60.00425720214844,0.9562392234802246
1076,1076,48795.69921875,-190150.90625,-5600.3525390625,-1641.541748046875,59.995643615722656,-0.2629774510860443
1077,1077,,,,,,
1078,1078,47005.48828125,-187507.015625,-5219.4365234375,-2204.24365234375,59.97609329223633,8.975142478942871
1079,1079,52113.53125,-184627.890625,-6306.14501953125,-2817.810546875,60.15635681152344,-7.697161674499512
1080,1080,,,,,,
1081,1081,47281.6875,-191597.484375,-5278.2021484375,-1333.959716796875,60.09324645996094,19.65839385986328
1082,1082,48771.34375,-190211.65625,-5595.173828125,-1628.588623046875,60.0054817199707,0.8560255169868469
1083,1083,,,,,,
1084,1084,48814.27734375,-190159.25,-5604.29931640625,-1639.815673828125,59.99677276611328,-0.4509459137916565
1085,1085,47005.47265625,-187782.25,-5219.42236328125,-2145.7890625,59.965511322021484,9.447470664978027
1086,1086,,,,,,
1087,1087,52143.7890625,-184381.046875,-6312.57373046875,-2870.417724609375,60.16421890258789,-12.432171821594238
1088,1088,47284.3671875,-191704.65625,-5278.78271484375,-1311.06103515625,60.081058502197266,21.7042293548584
1089,1089,,,,,,
1090,1090,,,,,,
1091,1091,,,,,,
1092,1092,48777.078125,-190205.84375,-5596.390625,-1629.853271484375,60.00556945800781,0.28325700759887695
1093,1093,48828.41796875,-190167.78125,-5607.298828125,-1638.0814208984375,59.99843215942383,-0.608607292175293
1094,1094,,,,,,
1095,1095,47041.12109375,-187913.03125,-5227.015625,-2117.906982421875,59.95865249633789,7.877840518951416
1096,1096,52513.421875,-184212.53125,-6391.19873046875,-2906.44189453125,60.17604446411133,-16.13047981262207
1097,1097,,,,,,
1098,1098,46905.296875,-191679.453125,-5198.13330078125,-1316.37890625,60.06660842895508,18.028564453125
1099,1099,48759.83984375,-190251.65625,-5592.716796875,-1620.1544189453125,60.00151443481445,0.8561587929725647
